Title,Location,Company,Score,Salary,Post_Date,Synopsis,Low,High
Data Scientistnew,Remote,L2 Solutions,None,100000 - 175000 a year,Today,"Demonstrated experience applying data science methods to real-world data problems.Defines company data assets (data models), spark, sparkSQL, and hiveSQL jobs…",100000,175000.0
Data Scientist,"San Mateo, CA 94401 (Central Business District area)",Photomath,None,160000 - 170000 a year,30+ days ago,"Advanced knowledge of one or more of other mainstream data analytics and data science languages and packages: R, Matlab, etc.San Mateo, CA 94401 (Required).",160000,170000.0
Data Scientist,Remote,ForMotiv,None,75000 - 120000 a year,30+ days ago,Experience with SQL and data manipulation.Assist with data infrastructure and technical projects.Help build ForMotiv’s data science practice.,75000,120000.0
Data Scientist,"San Francisco, CA",Change Research,4.5,90000 - 130000 a year,30+ days ago,"Strong SQL and R skills, as a way to engage with data analysts in the company.Build a model to identify swing voters, and add it into a regularly updating data…",90000,130000.0
Statistician (Data Scientist)new,"Atlanta, GA 30329",Centers for Disease Control and Prevention,4.2,97078 - 126202 a year,Today,"Identify relevant data available, including internal and external data sources, leveraging new data collection processes.",97078,126202.0
Data Scientist,"Oakland, CA 94612 (Downtown area)",Mathematica Policy Research,3.8,60000 - 121000 a year,18 days ago,"We are looking for data scientists to lead and support data processing and analysis tasks, such as building data pipelines, monitoring data quality, developing…",60000,121000.0
Data Scientist,Remote,The Fitting Room,4.0,90000 - 110000 a year,11 days ago,Present information using data visualization techniques.Undertake preprocessing of structured and unstructured data.Combine models through ensemble modeling.,90000,110000.0
Senior Data Scientist,None,Real Estate Technology Start-up,None,70000 - 120000 a year,10 days ago,"Knowledge of batch and streaming data processing techniques.Familiarity with real-world ML systems (configuration, data collection, data verification, feature…",70000,120000.0
Data Scientist,None,Blue Owl,None,250000 - 450000 a year,30+ days ago,"Contact center knowledge: You are an expert at using data science methods to optimize contact centers.We’re using rich customer insights, advanced technology…",250000,450000.0
Data Scientist,None,AUGR LLC,None,120000 - 180000 a year,11 days ago,"Additional responsibilities include: developing or integrating analytic capabilities and tools, advising on analytic approaches and gaps in capabilities,…",120000,180000.0
Senior Data Scientistnew,None,Zdaly,None,Up to 175000 a year,Today,Minimum of Bachelor’s degree in a technical discipline.5+ years of experience in Python development with emphasis on machine learning.,175000,
Data Scientist,"Bellevue, WA",SageBeans RPO,None,110000 - 120000 a year,11 days ago,"Explore, mine and analyze data from healthcare data sources to support the development of ML solutions.Local Candidates will be Preferred.",110000,120000.0
